x,y,z,t
-1,0,0.5,0
-1.00055157471814,-0.000948972485981552,0.499303740753551,0.000633298943245143
-1.00165593495339,-0.00284495768043049,0.497911964682125,0.00189989682973543
-1.0033811205445,-0.00579065149940342,0.495746850136937,0.0038729827846469
-1.0060687734863,-0.0103407127632812,0.492395725521866,0.00693348275158743
-1.01972267527208,-0.0327300913652991,0.475777327861862,0.0222359825862901
-1.03947023670022,-0.063035712971817,0.452897200522027,0.0436774543259838
-1.06767021650813,-0.102253495850489,0.422454711993432,0.0729861837473129
-1.09732839913905,-0.138644769662038,0.393059503532443,0.102294913168642
-1.13605170144878,-0.17909644534798,0.358377309899144,0.138450005544042
-1.17728895649599,-0.213965560696678,0.325578948063591,0.174605097919441
-1.2212112785667,-0.242400343674583,0.294796574898533,0.210760190294841
-1.26797241853091,-0.263412799677377,0.266132750690905,0.246915282670241
-1.31767880434356,-0.275862881614541,0.239669419406647,0.28307037504564
-1.37034638088044,-0.278440062906024,0.215465606800494,0.31922546742104
-1.42584059064865,-0.269656503346874,0.193558166942902,0.355380559796439
-1.48376588007295,-0.247892194589317,0.173949980451379,0.391535652171839
-1.54342062661504,-0.211426388172267,0.156639606265982,0.427690744547239
-1.60370641221586,-0.158531851323172,0.141625416524174,0.463845836922638
-1.65111478696901,-0.103705573979565,0.131303669395968,0.4926152302957
-1.69684315588046,-0.0369120161679411,0.12240554840448,0.521384623668761
-1.73961180822127,0.0421394581891145,0.114915997709313,0.550154017041822
-1.77798150976524,0.13333795065196,0.108820116725203,0.578923410414884
-1.81044752169214,0.236070595465714,0.104104086678129,0.607692803787945
-1.83558248293565,0.349158447478643,0.100758798323563,0.636462197161006
-1.852196477327,0.470864073347014,0.0987803787471954,0.665231590534068
-1.85949483585438,0.598977875284352,0.0981716804595486,0.694000983907129
-1.85719487372059,0.730982889704354,0.0989437062720648,0.722770377280191
-1.8455707331124,0.864271256861607,0.101116926883643,0.751539770653252
-1.82541355924125,0.996369418422959,0.104722465585149,0.780309164026313
-1.79791773150402,1.12512706730856,0.109803144050869,0.809078557399375
-1.75399817124978,1.28368043447077,0.118643557650018,0.846231183978948
-1.7034569077379,1.43144013897448,0.130192603479595,0.883383810558521
-1.63134362006788,1.60872411403276,0.15005241259093,0.932671247598673
-1.55804296923196,1.7642562241012,0.175590072009722,0.981958684638826
-1.48714894041843,1.89893962307466,0.207483492929819,1.03124612167898
-1.42032896683424,2.01413312010475,0.246491630101298,1.08053355871913
-1.35796342258709,2.11105899933467,0.293408137168256,1.12982099575928
-1.29972348864349,2.19061252099547,0.348983372689159,1.17910843279944
-1.23181107770664,2.26583846858183,0.430844830279567,1.24030682168831
-1.15414922952495,2.321930547897,0.5478951733243,1.31376761128246
-1.07785084440724,2.34075978317106,0.682842197281544,1.3872284008766
-1.00080713965902,2.32378354486484,0.828880322656645,1.46068919047075
-0.938576545755192,2.28751891558845,0.945982395266385,1.5190457420113
-0.87579930335404,2.23482449758546,1.05662794829489,1.57740229355185
-0.813408780314829,2.16989046160693,1.15423506909585,1.63575884509239
-0.75266193200776,2.09759164211317,1.23341732672721,1.69411539663294
-0.694904803799794,2.02268520876006,1.29081337808191,1.75247194817349
-0.641364544157066,1.94925421710244,1.32537515274326,1.81082849971404
-0.581115402995303,1.86314081702438,1.33830844705731,1.88482804972361
-0.530503664902167,1.78800138359357,1.32173566037555,1.95882759973318
-0.490097250870323,1.72516910794017,1.28279367609798,2.03282714974275
-0.459988832063517,1.67463670947738,1.22868394939047,2.10682669975232
-0.439892527669782,1.63499603737769,1.16584141889709,2.18082624976189
-0.429248361067066,1.6039003663718,1.09949151454085,2.25482579977146
-0.427318979654872,1.57911760445818,1.03347465481719,2.32882534978104
-0.433246110441072,1.55852601434898,0.970438699779896,2.40282489979061
-0.446081396863704,1.5402436158376,0.912054444945513,2.47682444980018
-0.470147388556927,1.51827144304777,0.84712818545928,2.56905363113113
-0.501371237779519,1.49507740361706,0.791355901287897,2.66128281246209
-0.537712820874811,1.4687526237919,0.744488440837445,2.75351199379304
-0.577385375097639,1.4381688921621,0.705669341767425,2.845741175124
-0.618962523695562,1.40275306699983,0.673732831414773,2.93797035645495
